,max_price,min_price,daily_price_spread,simple_daily_profit,optimised_daily_profit
2018-06-29,0.0,0.0,0.0,0.0,0.0
2018-06-30,66.77,38.215,28.554999999999993,2427.1749999999993,1994.2124945770056
2018-07-01,66.025,43.05,22.97500000000001,1952.8750000000007,-3849.8255796616045
2018-07-02,0.0,0.0,0.0,0.0,2242.43
2018-07-03,66.00999999999999,44.235,21.77499999999999,1850.874999999999,5977.661036876355
2018-07-04,0.0,0.0,0.0,0.0,97.05784815618244
2018-07-05,73.08,42.735,30.345,2579.325,4282.865379609545
2018-07-06,0.0,0.0,0.0,0.0,868.7222039045541
2018-07-07,75.245,46.81,28.435000000000002,2416.975,4809.813270716775
2018-07-08,67.22999999999999,48.07,19.15999999999999,1628.599999999999,648.4298986923645
2018-07-09,60.695,44.855,15.840000000000003,1346.4000000000003,0.0
2018-07-10,69.39500000000001,43.51,25.885000000000012,2200.2250000000013,-2789.1481778741863
2018-07-11,0.0,0.0,0.0,0.0,1933.2490021691967
2018-07-12,80.67,48.03,32.64,2774.4,8512.702885032537
2018-07-13,95.43,46.695,48.73500000000001,4142.475,3834.65230802603
2018-07-14,0.0,0.0,0.0,0.0,2163.2608329718
2018-07-15,0.0,0.0,0.0,0.0,0.0
2018-07-16,91.065,46.215,44.849999999999994,3812.249999999999,8714.286248427214
2018-07-17,75.595,44.67,30.924999999999997,2628.6249999999995,-619.3957266811285
2018-07-18,0.0,0.0,0.0,0.0,4352.423999999999
2018-07-19,71.555,47.75,23.805000000000007,2023.4250000000006,1497.3630108459865
2018-07-20,64.87,46.61,18.260000000000005,1552.1000000000004,-4236.242504
2018-07-21,0.0,0.0,0.0,0.0,7488.027422033587
2018-07-22,67.08500000000001,44.375,22.710000000000008,1930.3500000000008,-1373.2668373101956
2018-07-23,75.24000000000001,48.22,27.02000000000001,2296.7000000000007,4565.348
2018-07-24,0.0,0.0,0.0,0.0,512.4259461417932
2018-07-25,70.075,46.005,24.07,2045.95,1530.6869067245116
2018-07-26,74.995,45.614999999999995,29.38000000000001,2497.3000000000006,2015.139796095445
2018-07-27,0.0,0.0,0.0,0.0,2147.694395882863
2018-07-28,0.0,0.0,0.0,0.0,120.69724511930542
2018-07-29,76.03,32.455,43.575,3703.875,1688.4773362255964
2018-07-30,0.0,0.0,0.0,0.0,7177.16
2018-07-31,0.0,0.0,0.0,0.0,-2225.878529284166
2018-08-01,68.37,42.56,25.810000000000002,2193.85,1053.3993015184387
2018-08-02,0.0,0.0,0.0,0.0,1208.7759002169196
2018-08-03,72.1,47.56,24.539999999999992,2085.899999999999,6893.856
2018-08-04,73.68,43.644999999999996,30.03500000000001,2552.975000000001,3728.399184381777
2018-08-05,65.62,43.805,21.815000000000005,1854.2750000000003,1297.0835488069415
2018-08-06,72.75,44.78,27.97,2377.45,1852.581245119305
2018-08-07,74.24000000000001,48.18,26.06000000000001,2215.100000000001,1730.4766941431672
2018-08-08,63.05,46.795,16.254999999999995,1381.6749999999995,891.0920519999995
2018-08-09,69.99000000000001,45.175,24.815000000000012,2109.275000000001,-3391.4951323210407
2018-08-10,0.0,0.0,0.0,0.0,7516.271418335128
2018-08-11,62.34,46.575,15.765,1340.0249999999999,0.0
2018-08-12,74.9,38.335,36.565000000000005,3108.025,-2870.8780954446856
2018-08-13,0.0,0.0,0.0,0.0,8701.707999999999
2018-08-14,0.0,0.0,0.0,0.0,1614.8570412147503
2018-08-15,0.0,0.0,0.0,0.0,-2061.032368763558
2018-08-16,68.965,42.55,26.415000000000006,2245.2750000000005,6689.891999999999
2018-08-17,0.0,0.0,0.0,0.0,472.23013882863233
2018-08-18,73.08500000000001,34.315,38.77000000000001,3295.4500000000007,4817.255496746203
2018-08-19,71.36,33.504999999999995,37.855000000000004,3217.675,-548.099152555315
2018-08-20,0.0,0.0,0.0,0.0,6689.493514099784
2018-08-21,0.0,0.0,0.0,0.0,8802.333999999999
2018-08-22,79.575,37.04,42.535000000000004,3615.475,2940.5306464208247
2018-08-23,0.0,0.0,0.0,0.0,-539.3460000000014
2018-08-24,80.155,35.894999999999996,44.260000000000005,3762.100000000001,7089.703449023861
2018-08-25,72.13499999999999,43.67,28.46499999999999,2419.524999999999,1952.0127331887197
2018-08-26,0.0,0.0,0.0,0.0,2104.017175704989
2018-08-27,84.685,8.79,75.89500000000001,6451.075000000001,3764.9845336225594
2018-08-28,76.725,54.735,21.989999999999995,1869.1499999999996,-1633.7403947939258
2018-08-29,0.0,0.0,0.0,0.0,8022.552
2018-08-30,76.275,53.894999999999996,22.38000000000001,1902.3000000000006,1471.8674620390461
2018-08-31,0.0,0.0,0.0,0.0,0.0
2018-09-01,83.135,52.11,31.025000000000006,2637.1250000000005,2031.052451193058
2018-09-02,78.16499999999999,47.925,30.239999999999995,2570.3999999999996,2089.773201735357
2018-09-03,72.38499999999999,52.15,20.234999999999992,1719.9749999999995,1030.386438177874
2018-09-04,70.66999999999999,52.66,18.00999999999999,1530.8499999999992,-5713.188720173535
2018-09-05,95.97,54.975,40.995,3484.575,5608.462485900217
2018-09-06,81.03999999999999,56.0,25.039999999999992,2128.399999999999,1801.735999999999
2018-09-07,83.93,58.51,25.42000000000001,2160.7000000000007,163.15479797830812
2018-09-08,84.41,63.825,20.584999999999994,1749.7249999999995,4599.601999999999
2018-09-09,0.0,0.0,0.0,0.0,2121.9391193058564
2018-09-10,80.11500000000001,19.61,60.50500000000001,5142.925000000001,5310.138563991322
2018-09-11,73.55000000000001,20.785,52.765000000000015,4485.0250000000015,4533.397132321041
2018-09-12,91.33,49.965,41.364999999999995,3516.024999999999,287.52378308025936
2018-09-13,89.35,55.475,33.87499999999999,2879.374999999999,5226.9398221258125
2018-09-14,0.0,0.0,0.0,0.0,-1845.0714620390454
2018-09-15,0.0,0.0,0.0,0.0,4416.902
2018-09-16,83.135,11.07,72.065,6125.525,3588.622885032537
2018-09-17,0.0,0.0,0.0,0.0,7927.8099999999995
2018-09-18,82.005,-14.870000000000001,96.875,8234.375,7011.776273318871
2018-09-19,74.805,22.854999999999997,51.95000000000001,4415.750000000001,1702.9925466377435
2018-09-20,0.0,0.0,0.0,0.0,8234.74
2018-09-21,80.905,37.195,43.71,3715.35,-488.720060737528
2018-09-22,90.57,43.825,46.74499999999999,3973.324999999999,8048.912590021691
2018-09-23,0.0,0.0,0.0,0.0,2402.1425226898045
2018-09-24,104.36,60.135000000000005,44.224999999999994,3759.124999999999,-1191.65348373102
2018-09-25,0.0,0.0,0.0,0.0,10835.390850325379
2018-09-26,89.175,13.535,75.64,6429.4,8163.613809110629
2018-09-27,87.86500000000001,56.355000000000004,31.510000000000005,2678.3500000000004,-2395.276984815619
2018-09-28,78.845,57.209999999999994,21.635000000000005,1838.9750000000004,8235.041266811279
2018-09-29,0.0,0.0,0.0,0.0,3029.8027038958776
2018-09-30,0.0,0.0,0.0,0.0,-1613.4299132321041
2018-10-01,0.0,0.0,0.0,0.0,7751.332
2018-10-02,77.305,24.354999999999997,52.95000000000001,4500.750000000001,-1331.9674056399135
2018-10-03,0.0,0.0,0.0,0.0,7117.964
2018-10-04,0.0,0.0,0.0,0.0,0.0
2018-10-05,90.43,54.035,36.39500000000001,3093.5750000000007,3867.0180043383934
2018-10-06,72.415,50.005,22.410000000000004,1904.8500000000004,-1743.7646420824285
2018-10-07,0.0,0.0,0.0,0.0,3963.6520260303696
2018-10-08,78.11,46.805,31.305,2660.9249999999997,1742.4025379609539
2018-10-09,0.0,0.0,0.0,0.0,8168.191999999999
2018-10-10,59.58908450704226,59.38823943661971,0.2008450704225453,17.07183098591635,0.0
2018-10-11,82.445,55.665,26.779999999999994,2276.2999999999997,1713.9416052060742
2018-10-12,85.75999999999999,7.6850000000000005,78.07499999999999,6636.374999999999,2995.3436095444677
2018-10-13,0.0,0.0,0.0,0.0,4463.47302550976
2018-10-14,82.59,48.745,33.845000000000006,2876.8250000000003,-312.72021258134583
2018-10-15,95.93,53.57,42.36000000000001,3600.600000000001,3027.3183036876353
2018-10-16,0.0,0.0,0.0,0.0,2393.635078679283
2018-10-17,0.0,0.0,0.0,0.0,7249.48
2018-10-18,0.0,0.0,0.0,0.0,-3014.861874186551
2018-10-19,82.59,50.425,32.165000000000006,2734.025,8823.014750542297
2018-10-20,84.715,52.405,32.31,2746.35,3649.4025336225595
2018-10-21,0.0,0.0,0.0,0.0,1886.79714967462
2018-10-22,0.0,0.0,0.0,0.0,2887.619709327548
2018-10-23,72.62,14.145,58.47500000000001,4970.375000000001,3019.026577006508
2018-10-24,76.67,36.165,40.505,3442.925,5934.305310806932
2018-10-25,84.02,49.769999999999996,34.25,2911.25,-3924.9845292841655
2018-10-26,0.0,0.0,0.0,0.0,8108.290649582865
2018-10-27,0.0,0.0,0.0,0.0,7047.704
2018-10-28,106.86,47.41,59.45,5053.25,4703.275700650759
2018-10-29,95.945,51.14,44.80499999999999,3808.4249999999993,-2280.295114967462
2018-10-30,107.6,53.04,54.559999999999995,4637.599999999999,4486.1979999999985
2018-10-31,0.0,0.0,0.0,0.0,1005.4804945770056
2018-11-01,0.0,0.0,0.0,0.0,3804.9031193058554
2018-11-02,80.815,50.28,30.534999999999997,2595.4749999999995,7457.11
2018-11-03,0.0,0.0,0.0,0.0,-219.79218221258134
2018-11-04,80.71000000000001,18.355,62.355000000000004,5300.175,2051.8283036876355
2018-11-05,106.36,52.315,54.045,4593.825,6536.479392624728
2018-11-06,0.0,0.0,0.0,0.0,5785.730277657265
2018-11-07,79.235,47.565,31.67,2691.95,2144.219028199566
2018-11-08,80.75999999999999,48.905,31.85499999999999,2707.6749999999993,2282.3980347071583
2018-11-09,0.0,0.0,0.0,0.0,-2953.8752537960954
2018-11-10,81.15,44.55,36.60000000000001,3111.000000000001,7492.096
2018-11-11,77.89500000000001,51.035,26.860000000000014,2283.1000000000013,1644.5423080260302
2018-11-12,74.81,46.2,28.61,2431.85,1927.8762733188714
2018-11-13,0.0,0.0,0.0,0.0,1614.7002906724506
2018-11-14,66.235,21.785,44.45,3778.25,-1252.0401301518436
2018-11-15,81.22,55.16,26.060000000000002,2215.1,4208.689709327549
2018-11-16,86.59,55.75,30.840000000000003,2621.4,5270.469999999999
2018-11-17,83.195,55.175,28.019999999999996,2381.6999999999994,1222.0628676789588
2018-11-18,0.0,0.0,0.0,0.0,2013.85
2018-11-19,74.83,49.01,25.82,2194.7,2143.4618704598597
2018-11-20,83.42,52.739999999999995,30.680000000000007,2607.8000000000006,2098.09495010846
2018-11-21,85.57,49.8,35.769999999999996,3040.4499999999994,-642.0691106290668
2018-11-22,0.0,0.0,0.0,0.0,6498.660095479392
2018-11-23,80.451145,53.805,26.646144999999997,2264.9223249999995,7612.222637999999
2018-11-24,86.525,51.735,34.790000000000006,2957.15,2350.479488069414
2018-11-25,0.0,0.0,0.0,0.0,-1542.283748373102
2018-11-26,0.0,0.0,0.0,0.0,12515.437999999998
2018-11-27,68.25999999999999,48.120000000000005,20.139999999999986,1711.8999999999987,-1709.2581344902383
2018-11-28,0.0,0.0,0.0,0.0,2308.8938000950493
2018-11-29,0.0,0.0,0.0,0.0,4660.597470715835
2018-11-30,71.27000000000001,32.89,38.38000000000001,3262.3000000000006,-3584.0802603036877
2018-12-01,0.0,0.0,0.0,0.0,7254.985999999999
2018-12-02,0.0,0.0,0.0,0.0,1982.9154013015177
2018-12-03,78.765,41.78,36.985,3143.725,2741.3720043383946
2018-12-04,0.0,0.0,0.0,0.0,4187.417002169196
2018-12-05,79.22999999999999,53.05,26.179999999999993,2225.2999999999993,4298.808885032538
2018-12-06,0.0,0.0,0.0,0.0,444.813666
2018-12-07,0.0,0.0,0.0,0.0,6011.30904121475
2018-12-08,74.255,-4.44,78.695,6689.074999999999,7140.909999999998
2018-12-09,83.82499999999999,45.985,37.83999999999999,3216.399999999999,537.8796052060729
2018-12-10,93.725,49.245,44.48,3780.7999999999997,6060.903817787419
2018-12-11,0.0,0.0,0.0,0.0,-1225.5627852494567
2018-12-12,0.0,0.0,0.0,0.0,4632.472
2018-12-13,0.0,0.0,0.0,0.0,6519.086156182212
2018-12-14,0.0,0.0,0.0,0.0,2700.1379999999995
2018-12-15,86.57,36.515,50.05499999999999,4254.674999999999,4040.4815097613878
2018-12-16,0.0,0.0,0.0,0.0,1644.3874793926243
2018-12-17,0.0,0.0,0.0,0.0,-2557.799036876356
2018-12-18,76.375,44.705,31.67,2691.95,3876.564533622559
2018-12-19,81.105,55.735,25.370000000000005,2156.4500000000003,1903.0059999999999
2018-12-20,0.0,0.0,0.0,0.0,68.61812413882802
2018-12-21,85.255,56.525,28.729999999999997,2442.0499999999997,8432.778929677537
2018-12-22,88.625,55.97,32.655,2775.6749999999997,2209.1647548806936
2018-12-23,88.34,58.22,30.120000000000005,2560.2000000000003,1953.9442950108464
2018-12-24,72.805,59.29,13.515000000000008,1148.7750000000005,0.0
2018-12-25,80.295,53.485,26.810000000000002,2278.85,1766.339310195227
2018-12-26,0.0,0.0,0.0,0.0,-4058.9891366594366
2018-12-27,83.035,52.105000000000004,30.929999999999993,2629.0499999999993,7755.842
